,Epoch,Train_loss,Train_acc,Test_loss,Test_acc,Cats_Accuracy,Dogs_Accuracy
0,0,0.387372635,72.5965,0.0001,98.983,98.75,99.25925926
1,1,0.219101351,96.0985,0.0002,98.6441,98.125,99.25925926
2,2,0.2845098,96.1937,0.0003,98.6441,98.125,99.25925926
3,3,0.38571272,95.4087,0.0002,98.983,98.75,99.25925926
4,4,0.187338704,97.7275,0.0001,98.983,99.375,98.51851852
5,5,0.408209331,96.0334,0.0001,98.983,99.375,98.51851852
6,6,0.229310271,98.326,0.0002,98.3051,98.125,98.51851852
7,7,0.310525071,96.2751,0.0002,98.983,99.375,98.51851852
8,8,0.195157485,97.3732,0.0007,98.983,99.375,98.51851852
9,9,0.156722888,97.6011,0.0003,98.6441,98.75,98.51851852
